lethal-body	Dead	61	Body	30	1	30	10	0	3
death-middle	Dead	61	Body	30	1	30	10	0	3
corpse-final	Dead	61	Body	30	1	30	10	0	3
corpse-inactive	Dead	61	Body	30	1	30	10	0	3
loop-chase	Chasing	0	Unspecified	0	0	0	0	100	0
loop-dodge	AttackCommit	0	Unspecified	0	0	0	0	100	0
loop-body-reaction	HitReact	62	Body	30	1	30	100	70	1
loop-player-hit	AttackCommit	62	Body	30	1	30	100	70	1
loop-lethal	Dead	64	Body	30	1	30	10	0	3
loop-complete	Dead	64	Body	30	1	30	10	0	3
layout-Idle	Chasing	65	Head	0.01	2	0.02	100	99.98	1
layout-Locomotion	Chasing	66	Head	0.01	2	0.02	99.98	99.96001	2
layout-Attack	Chasing	67	Head	0.01	2	0.02	99.96001	99.94001	3
layout-HitReact	Chasing	68	Head	0.01	2	0.02	99.94001	99.92001	4
lethal-AttackWindup	Dead	72	Body	30	1	30	10	0	3
lethal-AttackCommit	Dead	75	Body	30	1	30	10	0	3
lethal-Recovering	Dead	78	Body	30	1	30	10	0	3
new-session-alive	Idle	0	Unspecified	0	0	0	0	100	0
layout-idle	Chasing	0	Unspecified	0	0	0	0	100	0
body-hit-react-start	HitReact	60	Body	30	1	30	100	70	1
body-hit-react-peak	HitReact	60	Body	30	1	30	100	70	1
reaction-recovered	Chasing	60	Body	30	1	30	100	70	1
head-shot	Chasing	61	Head	30	2	60	70	10	2
lethal-body	Dead	62	Body	30	1	30	10	0	3
death-middle	Dead	62	Body	30	1	30	10	0	3
corpse-final	Dead	62	Body	30	1	30	10	0	3
corpse-inactive	Dead	62	Body	30	1	30	10	0	3
loop-chase	Chasing	0	Unspecified	0	0	0	0	100	0
loop-dodge	AttackCommit	0	Unspecified	0	0	0	0	100	0
loop-body-reaction	HitReact	63	Body	30	1	30	100	70	1
loop-player-hit	AttackCommit	63	Body	30	1	30	100	70	1
loop-lethal	Dead	65	Body	30	1	30	10	0	3
loop-complete	Dead	65	Body	30	1	30	10	0	3
layout-Idle	Chasing	66	Head	0.01	2	0.02	100	99.98	1
layout-Locomotion	Chasing	67	Head	0.01	2	0.02	99.98	99.96001	2
layout-Attack	Chasing	68	Head	0.01	2	0.02	99.96001	99.94001	3
layout-HitReact	Chasing	69	Head	0.01	2	0.02	99.94001	99.92001	4
lethal-AttackWindup	Dead	73	Body	30	1	30	10	0	3
lethal-AttackCommit	Dead	76	Body	30	1	30	10	0	3
